subdivisionCode,subdivisionName,subdivisionType
GM-U,Upper River,Division
GM-W,Western,Division
GN-B,Boké,Administrative region
GN-BE,Beyla,Prefecture
GN-BF,Boffa,Prefecture
GN-BK,Boké,Prefecture
GN-C,Conakry,Governorate
GN-CO,Coyah,Prefecture
GN-D,Kindia,Administrative region
GN-DB,Dabola,Prefecture
GN-DI,Dinguiraye,Prefecture
GN-DL,Dalaba,Prefecture
GN-DU,Dubréka,Prefecture
GN-F,Faranah,Administrative region
GN-FA,Faranah,Prefecture
GN-FO,Forécariah,Prefecture
GN-FR,Fria,Prefecture
GN-GA,Gaoual,Prefecture
GN-GU,Guékédou,Prefecture
GN-K,Kankan,Administrative region
GN-KA,Kankan,Prefecture
GN-KB,Koubia,Prefecture
GN-KD,Kindia,Prefecture
GN-KE,Kérouané,Prefecture
GN-KN,Koundara,Prefecture
GN-KO,Kouroussa,Prefecture
GN-KS,Kissidougou,Prefecture
GN-L,Labé,Administrative region
GN-LA,Labé,Prefecture
GN-LE,Lélouma,Prefecture
GN-LO,Lola,Prefecture
GN-M,Mamou,Administrative region
GN-MC,Macenta,Prefecture
GN-MD,Mandiana,Prefecture
GN-ML,Mali,Prefecture
GN-MM,Mamou,Prefecture
GN-N,Nzérékoré,Administrative region
GN-NZ,Nzérékoré,Prefecture
GN-PI,Pita,Prefecture
GN-SI,Siguiri,Prefecture
GN-TE,Télimélé,Prefecture
GN-TO,Tougué,Prefecture
GN-YO,Yomou,Prefecture
GQ-AN,Annobon,Province
GQ-BN,Bioko Nord,Province
GQ-BS,Bioko Sud,Province
GQ-C,Région Continentale,Region
GQ-CS,Centro Sud,Province
GQ-DJ,Djibloho,Province
GQ-I,Région Insulaire,Region
GQ-KN,Kié-Ntem,Province
GQ-LI,Littoral,Province
GQ-WN,Wele-Nzas,Province
GR-D,Ípeiros,Administrative region
GR-E,Thessalía,Administrative region
GR-F,Ionía Nísia,Administrative region
GR-G,Dytikí Elláda,Administrative region
GR-H,Stereá Elláda,Administrative region
GR-I,Attikí,Administrative region
GR-J,Pelopónnisos,Administrative region
GR-K,Vóreio Aigaío,Administrative region
GR-L,Nótio Aigaío,Administrative region
GR-M,Kríti,Administrative region
GW-BA,Bafatá,Region
GW-BL,Bolama / Bijagós,Region
GW-BM,Biombo,Region
GW-CA,Cacheu,Region
GW-GA,Gabú,Region
GW-L,Leste,Province
GW-N,Norte,Province
GW-OI,Oio,Region
GW-QU,Quinara,Region
GW-S,Sul,Province
GW-TO,Tombali,Region
HN-AT,Atlántida,Department
HN-CH,Choluteca,Department
HN-CR,Cortés,Department
HN-EP,El Paraíso,Department
HN-IB,Islas de la Bahía,Department
HN-IN,Intibucá,Department
HN-VA,Valle,Department
HT-AR,Artibonite,Department
HT-CE,Centre,Department
HT-GA,Grande’Anse,Department
HT-ND,Nord,Department
HT-NE,Nord-Est,Department
HT-NI,Nippes,Department
HT-NO,Nord-Ouest,Department
HT-OU,Ouest,Department
HT-SD,Sud,Department
HT-SE,Sud-Est,Department
ID-JW,Jawa,Geographical unit
ID-KA,Kalimantan,Geographical unit
ID-ML,Maluku,Geographical unit
ID-NU,Nusa Tenggara,Geographical unit
ID-PP,Papua,Geographical unit
ID-SL,Sulawesi,Geographical unit
ID-SM,Sumatera,Geographical unit
IE-CE,Clare,County
IE-CN,Cavan,County
IE-CO,Cork,County
IE-CW,Carlow,County
IE-D,Dublin,County
IE-DL,Donegal,County
IE-G,Galway,County
IE-KE,Kildare,County
IE-KK,Kilkenny,County
IE-KY,Kerry,County
IE-LD,Longford,County
IE-LH,Louth,County
IE-LK,Limerick,County
IE-LM,Leitrim,County
IE-LS,Laois,County
IE-MH,Meath,County
IE-MN,Monaghan,County
IE-MO,Mayo,County
IE-OY,Offaly,County
IE-RN,Roscommon,County
IE-SO,Sligo,County
IE-TA,Tipperary,County
IE-WD,Waterford,County
IE-WH,Westmeath,County
IE-WW,Wicklow,County
IE-WX,Wexford,County
IL-D,Al Janūbī,District
IL-HA,H̱efa,District
IL-M,Al Awsaţ,District
IL-Z,Ash Shamālī,District
IN-AN,Andaman and Nicobar Islands,Union territory
IN-AP,Andhra Pradesh,State
IN-AR,Arunāchal Pradesh,State
IN-AS,Assam,State
IN-BR,Bihār,State
IN-CG,Chhattīsgarh,State
IN-CH,Chandīgarh,Union territory
IN-DH,Dādra and Nagar Haveli and Damān and Diu,Union territory
IN-DL,Delhi,Union territory
IN-GA,Goa,State
IN-GJ,Gujarāt,State
IN-HP,Himāchal Pradesh,State
IN-HR,Haryāna,State
IN-JH,Jhārkhand,State
IN-JK,Jammu and Kashmīr,Union territory
IN-KA,Karnātaka,State
IN-KL,Kerala,State
IN-LA,Ladākh,Union territory
IN-LD,Lakshadweep,Union territory
IN-MH,Mahārāshtra,State
IN-ML,Meghālaya,State
IN-MN,Manipur,State
IN-MP,Madhya Pradesh,State
IN-MZ,Mizoram,State
IN-NL,Nāgāland,State
IN-OD,Odisha,State
IN-PB,Punjab,State
IN-PY,Puducherry,Union territory
IN-RJ,Rājasthān,State
IN-SK,Sikkim,State
IN-TN,Tamil Nādu,State
IN-TR,Tripura,State
IN-TS,Telangāna,State
IN-UK,Uttarākhand,State
IN-UP,Uttar Pradesh,State
IN-WB,West Bengal,State
IQ-AN,Al Anbār,Governorate
IQ-DQ,Dhī Qār,Governorate
IQ-KA,Karbalā’,Governorate
IQ-MA,Maysān,Governorate
IQ-NA,An Najaf,Governorate
IQ-QA,Al Qādisīyah,Governorate
IQ-SU,As Sulaymānīyah,Governorate
IR-00,Markazī,Province
IR-01,Gīlān,Province
IR-02,Māzandarān,Province
IR-03,Āz̄ārbāyjān-e Shārqī,Province
IR-04,Āz̄ārbāyjān-e Ghārbī,Province
IR-05,Kermānshāh,Province
IR-06,Khūzestān,Province
IR-07,Fārs,Province
IR-08,Kermān,Province
IR-09,Khorāsān-e Raẕavī,Province
IR-10,Eşfahān,Province
IR-11,Sīstān va Balūchestān,Province
IR-12,Kordestān,Province
IR-13,Hamadān,Province
IR-14,Chahār Maḩāl va Bakhtīārī,Province
IR-15,Lorestān,Province
IR-16,Īlām,Province
IR-17,Kohgīlūyeh va Bowyer Aḩmad,Province
IR-18,Būshehr,Province
IR-19,Zanjān,Province
IR-20,Semnān,Province
IR-21,Yazd,Province
IR-22,Hormozgān,Province
IR-23,Tehrān,Province
IR-24,Ardabīl,Province
IR-25,Qom,Province
IR-26,Qazvīn,Province
IR-27,Golestān,Province
IR-28,Khorāsān-e Shomālī,Province
IR-29,Khorāsān-e Jonūbī,Province
IR-30,Alborz,Province
IS-1,Höfuðborgarsvæði,Region
IS-2,Suðurnes,Region
IS-3,Vesturland,Region
IS-4,Vestfirðir,Region
IS-5,Norðurland vestra,Region
IS-6,Norðurland eystra,Region
IS-7,Austurland,Region
IS-8,Suðurland,Region
IS-ASA,Ásahreppur,Municipality
IS-BLA,Bláskógabyggð,Municipality
IS-EOM,Eyja- og Miklaholtshreppur,Municipality
IS-FLA,Flóahreppur,Municipality
IS-FLR,Fljótsdalshreppur,Municipality
IS-GRY,Grýtubakkahreppur,Municipality
IS-HRG,Hörgársveit,Municipality
IS-KAL,Kaldrananeshreppur,Municipality
IS-LAN,Langanesbyggð,Municipality
IS-SBT,Svalbarðsstrandarhreppur,Municipality
IS-SKF,Skaftárhreppur,Municipality
IS-SKG,Skagabyggð,Municipality
IS-SKO,Skorradalshreppur,Municipality
IS-TJO,Tjörneshreppur,Municipality
JM-01,Kingston,Parish
JM-02,Saint Andrew,Parish
JM-03,Saint Thomas,Parish
JM-04,Portland,Parish
JM-05,Saint Mary,Parish
JM-06,Saint Ann,Parish
JM-07,Trelawny,Parish
JM-08,Saint James,Parish
JM-09,Hanover,Parish
JM-10,Westmoreland,Parish
JM-11,Saint Elizabeth,Parish
JM-12,Manchester,Parish
JM-13,Clarendon,Parish
JM-14,Saint Catherine,Parish
JO-AJ,‘Ajlūn,Governorate
JO-AM,Al ‘A̅şimah,Governorate
JO-AQ,Al ‘Aqabah,Governorate
JO-AT,Aţ Ţafīlah,Governorate
JO-AZ,Az Zarqā’,Governorate
JO-BA,Al Balqā’,Governorate
JO-IR,Irbid,Governorate
JO-JA,Jarash,Governorate
JO-KA,Al Karak,Governorate
JO-MA,Al Mafraq,Governorate
JO-MD,Mādabā,Governorate
JO-MN,Ma‘ān,Governorate
KH-1,Banteay Mean Choăy,Province
KH-10,Kracheh,Province
KH-11,Mondol Kiri,Province
KH-12,Phnom Penh,Autonomous municipality
KH-13,Preah Vihear,Province
KH-14,Prey Veaeng,Province
KH-15,Pousaat,Province
KH-16,Rotanak Kiri,Province
KH-17,Siem Reab,Province
KH-18,Preah Sihanouk,Province
KH-19,Stoĕng Trêng,Province
KH-2,Baat Dambang,Province
KH-20,Svaay Rieng,Province
KH-21,Taakaev,Province
KH-22,Otdar Mean Chey,Province
KH-23,Kaeb,Province
KH-24,Pailin,Province
KH-25,Tbong Khmum,Province
KH-3,Kampong Chaam,Province
KH-4,Kampong Chhnang,Province
KH-5,Kampong Spueu,Province
KH-6,Kampong Thum,Province
KH-7,Kampot,Province
KH-8,Kandaal,Province
KH-9,Kaoh Kong,Province
KI-G,Gilbert Islands,Group of islands (20 inhabited islands)
KI-L,Line Islands,Group of islands (20 inhabited islands)
KI-P,Phoenix Islands,Group of islands (20 inhabited islands)
KN-01,Christ Church Nichola Town,Parish
KN-02,Saint Anne Sandy Point,Parish
KN-03,Saint George Basseterre,Parish
KN-04,Saint George Gingerland,Parish
KN-05,Saint James Windward,Parish
KN-06,Saint John Capisterre,Parish
KN-07,Saint John Figtree,Parish
KN-08,Saint Mary Cayon,Parish
KN-09,Saint Paul Capisterre,Parish
KN-10,Saint Paul Charlestown,Parish
KN-11,Saint Peter Basseterre,Parish
KN-12,Saint Thomas Lowland,Parish
KN-13,Saint Thomas Middle Island,Parish
KN-15,Trinity Palmetto Point,Parish
KN-K,Saint Kitts,State
KP-01,P'yǒngyang,Capital city
KP-02,P'yǒngan-namdo,Province
KP-03,P'yǒngan-bukto,Province
KP-04,Chagang-do,Province
KP-05,Hwanghae-namdo,Province
KP-06,Hwanghae-bukto,Province
KP-07,Kangweonto,Province
KP-08,Hamgyǒng-namdo,Province
KP-09,Hamgyǒng-bukto,Province
KP-10,Ryanggang-do,Province
KP-13,Raseon,Special city
KP-14,Nampho,Metropolitan city
KP-15,Kaeseong,Metropolitan city
KW-FA,Al Farwānīyah,Governorate
KW-HA,Ḩawallī,Governorate
KW-JA,Al Jahrā’,Governorate
KW-KU,Al ‘Āşimah,Governorate
KZ-10,Abay oblysy,Region
KZ-11,Aqmola oblysy,Region
KZ-15,Aqtöbe oblysy,Region
KZ-27,Batys Qazaqstan oblysy,Region
KZ-31,Zhambyl oblysy,Region
KZ-33,Zhetisū oblysy,Region
KZ-47,Mangghystaū oblysy,Region
KZ-59,Soltüstik Qazaqstan oblysy,Region
KZ-61,Türkistan oblysy,Region
KZ-62,Ulytaū oblysy,Region
KZ-63,Shyghys Qazaqstan oblysy,Region
KZ-79,Shymkent,City
LA-AT,Attapu,Province
LA-BK,Bokèo,Province
LA-BL,Bolikhamxai,Province
LA-CH,Champasak,Province
LA-HO,Houaphan,Province
LA-KH,Khammouan,Province
LA-LM,Louang Namtha,Province
LA-LP,Louangphabang,Province
LA-OU,Oudômxai,Province
LA-PH,Phôngsali,Province
LA-SL,Salavan,Province
LA-SV,Savannakhét,Province
LA-VI,Viangchan,Province
LA-VT,Viangchan,Prefecture
LA-XA,Xaignabouli,Province
LA-XE,Xékong,Province
LA-XI,Xiangkhouang,Province
LA-XS,Xaisômboun,Province
LB-AK,Aakkâr,Governorate
LB-AS,Ash Shimāl,Governorate
LB-BA,Bayrūt,Governorate
LB-BH,Baalbek-Hermel,Governorate
LB-BI,Al Biqā‘,Governorate
LB-JA,Al Janūb,Governorate
LB-JL,Jabal Lubnān,Governorate
LB-NA,An Nabaţīyah,Governorate
LC-01,Anse la Raye,District
LC-02,Castries,District
LC-03,Choiseul,District
LC-05,Dennery,District
LC-06,Gros Islet,District
LC-07,Laborie,District
LC-08,Micoud,District
LC-10,Soufrière,District
LC-11,Vieux Fort,District
LC-12,Canaries,District
LK-11,Colombo,District
LK-12,Gampaha,District
LK-13,Kalutara,District
LK-21,Kandy,District
LK-22,Matale,District
LK-23,Nuwara Eliya,District
LK-31,Galle,District
LK-32,Matara,District
LK-33,Hambantota,District
LK-41,Jaffna,District
LK-42,Kilinochchi,District
LK-43,Mannar,District
LK-44,Vavuniya,District
LK-45,Mullaittivu,District
LK-51,Batticaloa,District
LK-52,Ampara,District
LK-53,Trincomalee,District
LK-61,Kurunegala,District
LK-62,Puttalam,District
LK-71,Anuradhapura,District
LK-72,Polonnaruwa,District
LK-81,Badulla,District
LK-82,Monaragala,District
LK-91,Ratnapura,District
LK-92,Kegalla,District
LS-A,Maseru,District
LS-B,Botha-Bothe,District
LS-C,Leribe,District
LS-D,Berea,District
LS-E,Mafeteng,District
LS-F,Mohale's Hoek,District
LS-G,Quthing,District
LS-H,Qacha's Nek,District
LS-J,Mokhotlong,District
LS-K,Thaba-Tseka,District
LU-CA,Capellen,Canton
LU-CL,Clervaux,Canton
LU-DI,Diekirch,Canton
LU-EC,Echternach,Canton
LU-ES,Esch-sur-Alzette,Canton
LU-GR,Grevenmacher,Canton
LU-LU,Luxembourg,Canton
LU-ME,Mersch,Canton
LU-RD,Redange,Canton
LU-RM,Remich,Canton
LU-VD,Vianden,Canton
LY-BA,Banghāzī,Popularate
LY-BU,Al Buţnān,Popularate
LY-DR,Darnah,Popularate
LY-GT,Ghāt,Popularate
LY-JA,Al Jabal al Akhḑar,Popularate
LY-JG,Al Jabal al Gharbī,Popularate
LY-JI,Al Jafārah,Popularate
LY-JU,Al Jufrah,Popularate
LY-KF,Al Kufrah,Popularate
LY-MB,Al Marqab,Popularate
LY-MI,Mişrātah,Popularate
LY-MJ,Al Marj,Popularate
LY-MQ,Murzuq,Popularate
LY-NL,Nālūt,Popularate
LY-NQ,An Nuqāţ al Khams,Popularate
LY-SB,Sabhā,Popularate
LY-SR,Surt,Popularate
LY-TB,Ţarābulus,Popularate
LY-WA,Al Wāḩāt,Popularate
LY-WD,Wādī al Ḩayāt,Popularate
LY-WS,Wādī ash Shāţi’,Popularate
LY-ZA,Az Zāwiyah,Popularate
MA-01,Tanger-Tétouan-Al Hoceïma,Region
MA-02,L'Oriental,Region
MA-03,Fès-Meknès,Region
MA-04,Rabat-Salé-Kénitra,Region
MA-05,Béni Mellal-Khénifra,Region
MA-06,Casablanca-Settat,Region
MA-08,Drâa-Tafilalet,Region
MA-09,Souss-Massa,Region
MA-10,Guelmim-Oued Noun (EH-partial),Region
MA-11,Laâyoune-Sakia El Hamra (EH-partial),Region
MA-12,Dakhla-Oued Ed-Dahab (EH),Region
MA-AGD,Agadir-Ida-Ou-Tanane,Prefecture
MA-AOU,Aousserd (EH),Province
MA-ASZ,Assa-Zag (EH-partial),Province
MA-AZI,Azilal,Province
MA-BEM,Béni Mellal,Province
MA-BER,Berkane,Province
MA-BES,Benslimane,Province
MA-BOD,Boujdour (EH),Province
MA-BOM,Boulemane,Province
MA-BRR,Berrechid,Province
MA-CAS,Casablanca,Prefecture
MA-CHE,Chefchaouen,Province
MA-CHI,Chichaoua,Province
MA-CHT,Chtouka-Ait Baha,Province
MA-DRI,Driouch,Province
MA-ERR,Errachidia,Province
MA-ESI,Essaouira,Province
MA-ESM,Es-Semara (EH-partial),Province
MA-FAH,Fahs-Anjra,Province
MA-FES,Fès,Prefecture
MA-FIG,Figuig,Province
MA-FQH,Fquih Ben Salah,Province
MA-GUE,Guelmim,Province
MA-GUF,Guercif,Province
MA-HAJ,El Hajeb,Province
MA-HAO,Al Haouz,Province
MA-HOC,Al Hoceïma,Province
MA-IFR,Ifrane,Province
MA-INE,Inezgane-Ait Melloul,Prefecture
MA-JDI,El Jadida,Province
MA-JRA,Jerada,Province
MA-KEN,Kénitra,Province
MA-KES,El Kelâa des Sraghna,Province
MA-KHE,Khémisset,Province
MA-KHN,Khénifra,Province
MA-KHO,Khouribga,Province
MA-LAA,Laâyoune (EH),Province
MA-LAR,Larache,Province
MA-MAR,Marrakech,Prefecture
MA-MDF,M’diq-Fnideq,Prefecture
MA-MED,Médiouna,Province
MA-MEK,Meknès,Prefecture
MA-MID,Midelt,Province
MA-MOH,Mohammadia,Prefecture
MA-MOU,Moulay Yacoub,Province
MA-NAD,Nador,Province
MA-NOU,Nouaceur,Province
MA-OUA,Ouarzazate,Province
MA-OUD,Oued Ed-Dahab (EH),Province
MA-OUJ,Oujda-Angad,Prefecture
MA-OUZ,Ouezzane,Province
MA-RAB,Rabat,Prefecture
MA-REH,Rehamna,Province
MA-SAF,Safi,Province
MA-SAL,Salé,Prefecture
MA-SEF,Sefrou,Province
MA-SET,Settat,Province
MA-SIB,Sidi Bennour,Province
MA-SIF,Sidi Ifni,Province
MA-SIK,Sidi Kacem,Province
MA-SIL,Sidi Slimane,Province
MA-SKH,Skhirate-Témara,Prefecture
MA-TAF,Tarfaya (EH-partial),Province
MA-TAI,Taourirt,Province
MA-TAO,Taounate,Province
MA-TAR,Taroudannt,Province
MA-TAT,Tata,Province
MA-TAZ,Taza,Province
MA-TET,Tétouan,Province
MA-TIN,Tinghir,Province
MA-TIZ,Tiznit,Province
MA-TNG,Tanger-Assilah,Prefecture
MA-TNT,Tan-Tan (EH-partial),Province
MA-YUS,Youssoufia,Province
MA-ZAG,Zagora,Province
MC-CL,La Colle,Quarter
MC-CO,La Condamine,Quarter
MC-FO,Fontvieille,Quarter
MC-GA,La Gare,Quarter
MC-JE,Jardin Exotique,Quarter
MC-LA,Larvotto,Quarter
MC-MA,Malbousquet,Quarter
MC-MC,Monte-Carlo,Quarter
MC-MG,Moneghetti,Quarter
MC-MO,Monaco-Ville,Quarter
MC-MU,Moulins,Quarter
MC-PH,Port-Hercule,Quarter
MC-SD,Sainte-Dévote,Quarter
MC-SO,La Source,Quarter
MC-SP,Spélugues,Quarter
MC-SR,Saint-Roman,Quarter
MC-VR,Vallon de la Rousse,Quarter
ME-25,Zeta,Municipality
MG-A,Toamasina,Province
MG-D,Antsiranana,Province
MG-F,Fianarantsoa,Province
MG-M,Mahajanga,Province
MG-T,Antananarivo,Province
MG-U,Toliara,Province
MH-L,Ralik chain,Chain (of islands)
MH-LIK,Likiep,Municipality
MH-MAL,Maloelap,Municipality
MH-T,Ratak chain,Chain (of islands)
MH-WTJ,Wotje,Municipality
ML-1,Kayes,Region
ML-10,Taoudénit,Region
ML-2,Koulikoro,Region
ML-3,Sikasso,Region
ML-4,Ségou,Region
ML-5,Mopti,Region
ML-6,Tombouctou,Region
ML-7,Gao,Region
ML-8,Kidal,Region
ML-9,Ménaka,Region
ML-BKO,Bamako,District
MR-01,Hodh ech Chargui,Region
MR-02,Hodh el Gharbi,Region
MR-03,Assaba,Region
MR-04,Gorgol,Region
MR-05,Brakna,Region
MR-06,Trarza,Region
MR-07,Adrar,Region
MR-08,Dakhlet Nouâdhibou,Region
MR-09,Tagant,Region
MR-10,Guidimaka,Region
MR-11,Tiris Zemmour,Region
MR-12,Inchiri,Region
MR-13,Nouakchott Ouest,Region
MR-14,Nouakchott Nord,Region
MR-15,Nouakchott Sud,Region
MU-AG,Agalega Islands,Dependency
MU-BL,Black River,District
MU-CC,Cargados Carajos Shoals,Dependency
MU-FL,Flacq,District
MU-GP,Grand Port,District
MU-MO,Moka,District
MU-PA,Pamplemousses,District
MU-PW,Plaines Wilhems,District
MU-RR,Rivière du Rempart,District
MU-SA,Savanne,District
MV-00,South Ari Atoll,Administrative atoll
MV-01,Addu City,City
MV-02,North Ari Atoll,Administrative atoll
MV-03,Faadhippolhu,Administrative atoll
MV-04,Felidhu Atoll,Administrative atoll
MV-05,Hahdhunmathi,Administrative atoll
MV-07,North Thiladhunmathi,Administrative atoll
MV-08,Kolhumadulu,Administrative atoll
MV-12,Mulaku Atoll,Administrative atoll
MV-13,North Maalhosmadulu,Administrative atoll
MV-14,North Nilandhe Atoll,Administrative atoll
MV-17,South Nilandhe Atoll,Administrative atoll
MV-20,South Maalhosmadulu,Administrative atoll
MV-23,South Thiladhunmathi,Administrative atoll
MV-24,North Miladhunmadulu,Administrative atoll
MV-25,South Miladhunmadulu,Administrative atoll
MV-26,Male Atoll,Administrative atoll
MV-27,North Huvadhu Atoll,Administrative atoll
MV-28,South Huvadhu Atoll,Administrative atoll
MV-29,Fuvammulah,Administrative atoll
MW-BA,Balaka,District
MW-BL,Blantyre,District
MW-C,Central Region,Region
MW-CK,Chikwawa,District
MW-CR,Chiradzulu,District
MW-CT,Chitipa,District
MW-DE,Dedza,District
MW-DO,Dowa,District
MW-KR,Karonga,District
MW-KS,Kasungu,District
MW-LI,Lilongwe,District
MW-LK,Likoma,District
MW-MC,Mchinji,District
MW-MG,Mangochi,District
MW-MH,Machinga,District
MW-MU,Mulanje,District
MW-MW,Mwanza,District
MW-MZ,Mzimba,District
MW-N,Northern Region,Region
MW-NB,Nkhata Bay,District
MW-NE,Neno,District
MW-NI,Ntchisi,District
MW-NK,Nkhotakota,District
MW-NS,Nsanje,District
MW-NU,Ntcheu,District
MW-PH,Phalombe,District
MW-RU,Rumphi,District
MW-S,Southern Region,Region
MW-SA,Salima,District
MW-TH,Thyolo,District
MW-ZO,Zomba,District
MZ-A,Niassa,Province
MZ-B,Manica,Province
MZ-G,Gaza,Province
MZ-I,Inhambane,Province
MZ-L,Maputo,Province
MZ-N,Nampula,Province
MZ-P,Cabo Delgado,Province
MZ-Q,Zambézia,Province
MZ-S,Sofala,Province
MZ-T,Tete,Province
NA-CA,Zambezi,Region
NA-ER,Erongo,Region
NA-HA,Hardap,Region
NA-KA,//Karas,Region
NA-KE,Kavango East,Region
NA-KH,Khomas,Region
NA-KU,Kunene,Region
NA-KW,Kavango West,Region
NA-OD,Otjozondjupa,Region
NA-OH,Omaheke,Region
NA-ON,Oshana,Region
NA-OS,Omusati,Region
NA-OT,Oshikoto,Region
NA-OW,Ohangwena,Region
NE-1,Agadez,Region
NE-2,Diffa,Region
NE-3,Dosso,Region
NE-4,Maradi,Region
NE-5,Tahoua,Region
NE-6,Tillabéri,Region
NE-7,Zinder,Region
NE-8,Niamey,Urban community
NO-21,Svalbard (Arctic Region),Arctic region
NO-22,Jan Mayen (Arctic Region),Arctic region
NO-30,Viken,County
NP-P1,Koshi,Province
NP-P2,Madhesh,Province
NP-P3,Bagmati,Province
NP-P4,Gandaki,Province
NP-P5,Lumbini,Province
NP-P6,Karnali,Province
NP-P7,Sudurpashchim,Province
NR-01,Aiwo,District
NR-02,Anabar,District
NR-03,Anetan,District
NR-04,Anibare,District
NR-05,Baitsi,District
NR-06,Boe,District
NR-07,Buada,District
NR-08,Denigomodu,District
NR-09,Ewa,District
NR-10,Ijuw,District
NR-11,Meneng,District
NR-12,Nibok,District
NR-13,Uaboe,District
NR-14,Yaren,District
NZ-CAN,Canterbury,Region
NZ-GIS,Gisborne,Region
NZ-HKB,Hawke's Bay,Region
NZ-MBH,Marlborough,Region
NZ-MWT,Manawatū-Whanganui,Region
NZ-NTL,Northland,Region
NZ-STL,Southland,Region
NZ-TAS,Tasman,Region
NZ-TKI,Taranaki,Region
NZ-WGN,Greater Wellington,Region
NZ-WKO,Waikato,Region
NZ-WTC,West Coast,Region
OM-BJ,Janūb al Bāţinah,Governorate
OM-BS,Shamāl al Bāţinah,Governorate
OM-BU,Al Buraymī,Governorate
OM-DA,Ad Dākhilīyah,Governorate
OM-MA,Masqaţ,Governorate
OM-MU,Musandam,Governorate
OM-SJ,Janūb ash Sharqīyah,Governorate
OM-SS,Shamāl ash Sharqīyah,Governorate
OM-WU,Al Wusţá,Governorate
OM-ZA,Az̧ Z̧āhirah,Governorate
OM-ZU,Z̧ufār,Governorate
PA-8,Panamá,Province
PH-00,National Capital Region,Region
PH-01,Ilocos (Region I),Region
PH-02,Cagayan Valley (Region II),Region
PH-03,Central Luzon (Region III),Region
PH-05,Bicol (Region V),Region
PH-06,Western Visayas (Region VI),Region
PH-07,Central Visayas (Region VII),Region
PH-08,Eastern Visayas (Region VIII),Region
PH-09,Zamboanga Peninsula (Region IX),Region
PH-10,Northern Mindanao (Region X),Region
PH-11,Davao (Region XI),Region
PH-12,Soccsksargen (Region XII),Region
PH-13,Caraga (Region XIII),Region
PH-40,Calabarzon (Region IV-A),Region
PH-41,Mimaropa (Region IV-B),Region
PK-IS,Islamabad,Federal capital territory
PS-BTH,Bethlehem,Governorate
PS-DEB,Deir El Balah,Governorate
PS-GZA,Gaza,Governorate
PS-HBN,Hebron,Governorate
PS-JEM,Jerusalem,Governorate
PS-JEN,Jenin,Governorate
PS-JRH,Jericho and Al Aghwar,Governorate
PS-KYS,Khan Yunis,Governorate
PS-NBS,Nablus,Governorate
PS-NGZ,North Gaza,Governorate
PS-QQA,Qalqilya,Governorate
PS-RBH,Ramallah,Governorate
PS-RFH,Rafah,Governorate
PS-SLT,Salfit,Governorate
PS-TBS,Tubas,Governorate
PS-TKM,Tulkarm,Governorate
QA-DA,Ad Dawḩah,Municipality
QA-KH,Al Khawr wa adh Dhakhīrah,Municipality
QA-MS,Ash Shamāl,Municipality
QA-RA,Ar Rayyān,Municipality
QA-SH,Ash Shīḩānīyah,Municipality
QA-US,Umm Şalāl,Municipality
QA-WA,Al Wakrah,Municipality
QA-ZA,Az̧ Z̧a‘āyin,Municipality
RS-01,Severnobački okrug,District
RS-02,Srednjebanatski okrug,District
RS-03,Severnobanatski okrug,District
RS-04,Južnobanatski okrug,District
RS-05,Zapadnobački okrug,District
RS-06,Južnobački okrug,District
RS-07,Sremski okrug,District
RS-08,Mačvanski okrug,District
RS-09,Kolubarski okrug,District
RS-10,Podunavski okrug,District
RS-11,Braničevski okrug,District
RS-12,Šumadijski okrug,District
RS-13,Pomoravski okrug,District
RS-16,Zlatiborski okrug,District
RS-17,Moravički okrug,District
RS-19,Rasinski okrug,District
RS-20,Nišavski okrug,District
RS-21,Toplički okrug,District
RS-23,Jablanički okrug,District
RS-24,Pčinjski okrug,District
RS-25,Kosovski okrug,District
RS-26,Pećki okrug,District
RS-28,Kosovsko-Mitrovački okrug,District
RS-29,Kosovsko-Pomoravski okrug,District
RW-01,City of Kigali,City
RW-02,Eastern,Province
RW-03,Northern,Province
RW-04,Western,Province
RW-05,Southern,Province
SA-01,Ar Riyāḑ,Region
SA-02,Makkah al Mukarramah,Region
SA-03,Al Madīnah al Munawwarah,Region
SA-04,Ash Sharqīyah,Region
SA-05,Al Qaşīm,Region
SA-06,Ḩā'il,Region
SA-07,Tabūk,Region
SA-08,Al Ḩudūd ash Shamālīyah,Region
SA-09,Jāzān,Region
SA-10,Najrān,Region
SA-11,Al Bāḩah,Region
SA-12,Al Jawf,Region
SA-14,'Asīr,Region
SC-01,Anse aux Pins,District
SC-02,Anse Boileau,District
SC-03,Anse Etoile,District
SC-04,Au Cap,District
SC-05,Anse Royale,District
SC-06,Baie Lazare,District
SC-07,Baie Sainte Anne,District
SC-08,Beau Vallon,District
SC-09,Bel Air,District
SC-10,Bel Ombre,District
SC-11,Cascade,District
SC-12,Glacis,District
SC-13,Grand Anse Mahe,District
SC-14,Grand Anse Praslin,District
SC-15,La Digue,District
SC-16,English River,District
SC-17,Mont Buxton,District
SC-18,Mont Fleuri,District
SC-19,Plaisance,District
SC-20,Pointe Larue,District
SC-21,Port Glaud,District
SC-22,Saint Louis,District
SC-23,Takamaka,District
SC-24,Les Mamelles,District
SC-25,Roche Caiman,District
SC-26,Ile Perseverance I,District
SC-27,Ile Perseverance II,District
SG-01,Central Singapore,District
SG-02,North East,District
SG-03,North West,District
SG-04,South East,District
SG-05,South West,District
